[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:17	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:18	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:19	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:48	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:49	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:49	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:49	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:50	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,9,1,4,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:50	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,3,0,3,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:51	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,4,1,2,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:31:52	] pgaming2(ThienVuongBang) SEL 1 [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,3,0,0,10) 12499(MONEY) at Shop[38]
[2023-01-21 09:32:58	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Kh¶i(0,2,4,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:32:58	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Yªu §íi(0,6,1,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:32:59	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn TÞch Tµ ChØ Hoµn(0,3,0,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:32:59	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Qua Trôy(0,9,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:32:59	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Thóc UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:32:59	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Nh­ ý ChØ Hoµn(0,3,0,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:00	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Kh«i(0,7,4,2,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:00	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn Ngoa(0,5,1,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:00	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng H¸m Thiªn H¹ng Liªn(0,4,1,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:39	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Yªu Trôy(0,9,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:39	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Yªu §íi(0,6,1,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:40	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Kh¶i(0,2,4,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:40	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Kh«i(0,7,4,2,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:41	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Ph­îng T×nh ChØ Hoµn(0,3,0,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:41	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long H¹ng Liªn(0,4,1,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:42	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Kh«i(0,7,4,2,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:42	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp §µn H­¬ng ChØ Hoµn(0,3,0,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:42	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Thóc UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:43	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Kh¶i(0,2,4,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:44	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Thóc UyÓn(0,8,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:44	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Ngoa(0,5,0,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:45	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Yªu §íi(0,6,1,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:45	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Yªu Trôy(0,9,1,3,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:45	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp Ngoa(0,5,0,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:46	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng Ngù Long Long §¶m ChØ Hoµn(0,3,0,1,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:46	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp H¹ng Liªn(0,4,1,0,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:33:47	] pgaming2(ThienVuongBang) SEL 1 DiÖu D­¬ng KÕ NghiÖp TrÇm H­¬ng ChØ Hoµn(0,3,0,4,10) 24999(MONEY) at Shop[39]
[2023-01-21 09:35:05	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:05	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
[2023-01-21 09:35:06	] pgaming2(ThienVuongBang) BUY 1 [6-1-1022-1]Boss TriÖu Ho¸n Phï (6,1,1022,0,1) 1(COIN) at Shop[181]
